USGS	01010000	St. John River at Ninemile Bridge, Maine
USGS	01010070	Big Black River near Depot Mtn, Maine
USGS	01010500	St. John River at Dickey, Maine
USGS	01011000	Allagash River near Allagash, Maine
USGS	01011500	St. Francis River near Connors, New Brunswick
USGS	01013500	Fish River near Fort Kent, Maine
USGS	01014000	St. John River below Fish R, nr Fort Kent, Maine
USGS	01015800	Aroostook River near Masardis, Maine
USGS	01017000	Aroostook River at Washburn, Maine
USGS	01017060	Hardwood Brook below Glidden Brk nr Caribou, Maine
USGS	01017290	Little Madawaska River at Caribou, Maine
USGS	01017550	Williams Brook at Phair, Maine
USGS	01017960	Meduxnekeag R above S Br Medux. R nr Houlton, ME
USGS	01018009	Pearce Brook at Route 1 at Houlton, Maine
USGS	01018035	Meduxnekeag River at Lowery Rd. nr Houlton, Maine
USGS	01018500	St. Croix River at Vanceboro, Maine
USGS	01019000	Grand Lake Stream at Grand Lake Stream, Maine
USGS	01021000	St. Croix River at Baring, Maine
USGS	01021050	St. Croix River at Milltown, Maine
USGS	01021060	St. Croix River at Calais, Maine
USGS	01021470	Libby Brook near Northfield, Maine
USGS	01021480	Old Stream near Wesley, Maine
USGS	01022500	Narraguagus River at Cherryfield, Maine
USGS	01022840	Otter Creek near Bar Harbor, Maine
USGS	01027200	North Branch Penobscot River nr Pittston Farm, ME
USGS	01027240	S. Br. Penobscot River nr Canada Falls Lake, Maine
USGS	01029200	Seboeis River near Shin Pond, Maine
USGS	01029500	East Branch Penobscot River at Grindstone, Maine
USGS	01030350	Wytopitlock Stream near Wytopitlock Maine
USGS	01030500	Mattawamkeag River near Mattawamkeag, Maine
USGS	01031300	Piscataquis River at Blanchard, Maine
USGS	01031450	Kingsbury Stream at Abbot Village, Maine
USGS	01031500	Piscataquis River near Dover-Foxcroft, Maine
USGS	01031510	Black Stream near Dover-Foxcroft, Maine
USGS	01034000	Piscataquis River at Medford, Maine
USGS	01034500	Penobscot River at West Enfield, Maine
USGS	01036390	Penobscot River at Eddington, Maine
USGS	01037000	Kenduskeag Stream near Bangor, Maine
USGS	01037050	Penobscot River at Bangor, Maine
USGS	01037380	Ducktrap River near Lincolnville, Maine
USGS	01038000	Sheepscot River at North Whitefield, Maine
USGS	01042500	Kennebec River at The Forks, Maine
USGS	01043500	Dead River near Dead River, Maine
USGS	01044550	Spencer Stream near Grand Falls, Maine
USGS	01046000	Austin Stream at Bingham, Maine
USGS	01046500	Kennebec River at Bingham, Maine
USGS	01047000	Carrabassett River near North Anson, Maine
USGS	01047150	Kennebec River near Madison, Maine
USGS	01047200	Sandy River near Madrid, Maine
USGS	01048000	Sandy River near Mercer, Maine
USGS	01048220	East Branch Wesserunsett Stream near Athens, Maine
USGS	01049265	Kennebec River at North Sidney, Maine
USGS	01049320	Kennebec River at Calumet Bridge at Augusta, Maine
USGS	01049500	Cobbosseecontee Stream at Gardiner, Maine
USGS	01049505	Kennebec River at Gardiner, Maine
USGS	01052500	Diamond River near Wentworth Location, NH
USGS	01053500	Androscoggin River at Errol, NH
USGS	01053600	Androscoggin River below Bog Brook at Cambridge NH
USGS	01054000	Androscoggin River near Gorham, NH
USGS	01054114	Peabody River at Gorham, New Hampshire
USGS	01054200	Wild River at Gilead, Maine
USGS	01054300	Ellis River at South Andover, Maine
USGS	01054500	Androscoggin River at Rumford, Maine
USGS	01055000	Swift River near Roxbury, Maine
USGS	01055500	Nezinscot River at Turner Center, Maine
USGS	01057000	Little Androscoggin River near South Paris, Maine
USGS	01059000	Androscoggin River near Auburn, Maine
USGS	01063310	Stony Brook at East Sebago, Maine
USGS	01064118	Presumpscot River at Westbrook, Maine
USGS	010642505	SACO RIVER AT RIVER STREET, AT BARTLETT, NH
USGS	01064500	Saco River near Conway, NH
USGS	01064801	BEARCAMP RIVER AT SOUTH TAMWORTH, NH
USGS	01066000	Saco River at Cornish, Maine
USGS	01067950	Kennebunk River near Kennebunk, Maine
USGS	01068910	Mousam River at Route 4 near Sanford, Maine
USGS	01069500	Mousam River near West Kennebunk, Maine
USGS	01069700	Branch Brook near Kennebunk, Maine
USGS	01072800	COCHECO RIVER NEAR ROCHESTER, NH.
USGS	01072870	ISINGLASS R AT ROCHESTER NECK RD, NR DOVER, NH
USGS	01073000	OYSTER RIVER NEAR DURHAM, NH
USGS	01073319	LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH
USGS	01073500	LAMPREY RIVER NEAR NEWMARKET, NH
USGS	010735562	EXETER RIVER AT ODELL ROAD, NEAR SANDOWN, NH
USGS	01073587	EXETER RIVER AT HAIGH ROAD, NEAR BRENTWOOD, NH
USGS	01073785	WINNICUT RIVER AT GREENLAND, NR PORTSMOUTH, NH
USGS	01074520	EAST BRANCH PEMIGEWASSET RIVER AT LINCOLN, NH
USGS	01075000	PEMIGEWASSET RIVER AT WOODSTOCK, NH
USGS	01076000	BAKER RIVER NEAR RUMNEY, NH
USGS	01076500	PEMIGEWASSET RIVER AT PLYMOUTH, NH
USGS	01077400	COCKERMOUTH RIVER BELOW HARDY BROOK, AT GROTON, NH
USGS	01078000	SMITH RIVER NEAR BRISTOL, NH
USGS	01081000	WINNIPESAUKEE RIVER AT TILTON, NH
USGS	01081500	MERRIMACK RIVER AT FRANKLIN JUNCTION, NH
USGS	01082000	CONTOOCOOK RIVER AT PETERBOROUGH, NH
USGS	01083000	NUBANUSIT BK BLW MACDOWELL DAM NR PETERBOROUGH NH
USGS	01085000	CONTOOCOOK RIVER NEAR HENNIKER, NH
USGS	01085500	CONTOOCOOK R BL HOPKINTON DAM AT W HOPKINTON, NH
USGS	01086000	WARNER RIVER AT DAVISVILLE, NH
USGS	01087000	BLACKWATER RIVER NEAR WEBSTER, NH
USGS	01087850	CONTOOCOOK RIVER AT RIVER HILL, NEAR PENACOOK, NH
USGS	01088400	MERRIMACK RIVER AT CONCORD, NH
USGS	01089100	SOUCOOK RIVER, AT PEMBROKE ROAD, NEAR CONCORD, NH
USGS	01089500	SUNCOOK RIVER AT NORTH CHICHESTER, NH
USGS	01089925	SUNCOOK RIVER AT NH 28, NEAR SUNCOOK, NH
USGS	01090800	PISCATAQUOG RIVER BL EVERETT DAM, NR E WEARE, NH
USGS	01091000	SOUTH BRANCH PISCATAQUOG RIVER NEAR GOFFSTOWN, NH
USGS	01091500	PISCATAQUOG RIVER NEAR GOFFSTOWN, NH
USGS	01092000	MERRIMACK R NR GOFFS FALLS, BELOW MANCHESTER, NH
USGS	01093852	SOUHEGAN RIVER (SITE WLR-1) NEAR MILFORD, NH
USGS	01094000	SOUHEGAN RIVER AT MERRIMACK, NH
USGS	01094400	NORTH NASHUA RIVER AT FITCHBURG, MA
USGS	01094500	NORTH NASHUA RIVER NEAR LEOMINSTER, MA
USGS	01095220	STILLWATER RIVER NEAR STERLING, MA
USGS	01095375	QUINAPOXET RIVER AT CANADA MILLS NEAR HOLDEN, MA
USGS	01095434	GATES BROOK NEAR WEST BOYLSTON, MA
USGS	01095503	NASHUA RIVER, WATER STREET BRIDGE, AT CLINTON, MA
USGS	01096000	SQUANNACOOK RIVER NEAR WEST GROTON, MA
USGS	01096500	NASHUA RIVER AT EAST PEPPERELL, MA
USGS	010965852	BEAVER BROOK AT NORTH PELHAM, NH
USGS	01097000	ASSABET RIVER AT MAYNARD, MA
USGS	01097300	NASHOBA BROOK NEAR ACTON, MA
USGS	01098500	COCHITUATE BK BL LAKE COCHITUATE AT FRAMINGHAM, MA
USGS	01098530	SUDBURY RIVER AT SAXONVILLE, MA
USGS	01099500	CONCORD R BELOW R MEADOW BROOK, AT LOWELL, MA
USGS	01100000	MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA
USGS	01100500	MERRIMACK RIVER AT LAWRENCE, MA
USGS	01100505	SPICKET RIVER AT NORTH SALEM, NH
